filename,benchmark_file_path,proxy_shapes,tuning_dir_path,Better,pct_of_baseline,tuned_spec_path
fused_op_bmm_1cafd6d3b3dde335252db1830887f64a19bf9d5e_10x96x96xbfloat16_10x96x96xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_bmm_1cafd6d3b3dde335252db1830887f64a19bf9d5e_10x96x96xbfloat16_10x96x96xbfloat16_benchmark.mlir,"aten::bmm '[[10, 96, 96], [10, 96, 96]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[9216, 96, 1], [9216, 96, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_04_21_54,True,73.1,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_04_21_54/candidates/specs/10_spec.mlir
fused_op_bmm_6e681fd7acb32ed9dd3e3e9fe55620ea35b6a697_128x3x3xfloat64_128x3x2304xfloat64.mlir,,"aten::bmm '[[128, 3, 3], [128, 3, 2304]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[9, 3, 1], [6912, 2304, 1]]' '['""'""''""'""', '""'""''""'""']'",,,,
fused_op_mm_9941b00ac8b91e86850e1fd74c6226d792645ca4_1280x576xbfloat16_576x3840xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_9941b00ac8b91e86850e1fd74c6226d792645ca4_1280x576xbfloat16_576x3840xbfloat16_benchmark.mlir,"aten::mm '[[1280, 576], [576, 3840]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [3840, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_09_16_48,True,80.2,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_09_16_48/candidates/specs/819_spec.mlir
fused_op_mm_c80ec1f7d9d0ab15b945710a50bb6ec3d8ada2f1_1280x1152xbfloat16_1152x576xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_c80ec1f7d9d0ab15b945710a50bb6ec3d8ada2f1_1280x1152xbfloat16_1152x576xbfloat16_benchmark.mlir,"aten::mm '[[1280, 1152], [1152, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1152, 1], [576, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_11_03_27,False,,
fused_op_mm_434de9936211bee83844e8d58d508c2c5e8dad91_7680x576xbfloat16_576x576xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_434de9936211bee83844e8d58d508c2c5e8dad91_7680x576xbfloat16_576x576xbfloat16_benchmark.mlir,"aten::mm '[[7680, 576], [576, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [1, 576]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_08_04_18,False,,
fused_op_mm_072405fcb8bac52843c74b74087c0e89629bf3df_32768x128xbfloat16_128x512xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_072405fcb8bac52843c74b74087c0e89629bf3df_32768x128xbfloat16_128x512xbfloat16_benchmark.mlir,"aten::mm '[[32768, 128], [128, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[128, 1], [512, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_06_06_43,True,66.9,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_06_06_43/candidates/specs/257_spec.mlir
fused_op_mm_e7f9a2d4de82838b430371a620f0479154ba04d7_21760x20xbfloat16_21760x3840xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_e7f9a2d4de82838b430371a620f0479154ba04d7_21760x20xbfloat16_21760x3840xbfloat16_benchmark.mlir,"aten::mm '[[20, 21760], [21760, 3840]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 20], [3840, 1]]' '['""'""''""'""', '""'""''""'""']'",,,,
fused_op_mm_23fdea0faab2d607c437628bb3e45e8413b1b731_1285x2048xbfloat16_1285x2048xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_23fdea0faab2d607c437628bb3e45e8413b1b731_1285x2048xbfloat16_1285x2048xbfloat16_benchmark.mlir,"aten::mm '[[2048, 1285], [1285, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_07_05_21,True,84.1,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_07_05_21/candidates/specs/641_spec.mlir
fused_op_mm_a55123289a70f6abd28f3a20cd8a39c37fbfca31_24576x512xbfloat16_512x2048xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_a55123289a70f6abd28f3a20cd8a39c37fbfca31_24576x512xbfloat16_512x2048xbfloat16_benchmark.mlir,"aten::mm '[[24576, 512], [512, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_10_03_52,True,56.9,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_10_03_52/candidates/specs/1774_spec.mlir
fused_op_bmm_65b38131d28a00193187ca5244d4b1feba490812_5x384x384xbfloat16_5x384x192xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_bmm_65b38131d28a00193187ca5244d4b1feba490812_5x384x384xbfloat16_5x384x192xbfloat16_benchmark.mlir,"aten::bmm '[[5, 384, 384], [5, 384, 192]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[147456, 384, 1], [0, 192, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_05_10_18,False,,
fused_op_mm_c1733df4318f3f7ee24635a052ba7c513aa40f87_10x2304xbfloat16_2304x576xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_c1733df4318f3f7ee24635a052ba7c513aa40f87_10x2304xbfloat16_2304x576xbfloat16_benchmark.mlir,"aten::mm '[[10, 2304], [2304, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2304, 1], [576, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_11_00_11,False,,
fused_op_bmm_70dea66c9f7a1534f8fc8ed293ed33c5629a11ff_16x384x192xbfloat16_16x384x384xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_bmm_70dea66c9f7a1534f8fc8ed293ed33c5629a11ff_16x384x192xbfloat16_16x384x384xbfloat16_benchmark.mlir,"aten::bmm '[[16, 192, 384], [16, 384, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 1, 192], [147456, 384, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_05_10_19,True,70.8,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_05_10_19/candidates/specs/745_spec.mlir
fused_op_mm_fc8839757b935eefa9795b327a1ecc20f3d9e66f_1280x576xbfloat16_1280x576xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_fc8839757b935eefa9795b327a1ecc20f3d9e66f_1280x576xbfloat16_1280x576xbfloat16_benchmark.mlir,"aten::mm '[[576, 1280], [1280, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 576], [576, 1]]' '['""'""''""'""', '""'""''""'""']'",,,,
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_ebd6e4b400990d00a7fa82de4bf64507bdd41f36_1024xbfloat16_16x512xbfloat16_1024x512xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_ebd6e4b400990d00a7fa82de4bf64507bdd41f36_1024xbfloat16_16x512xbfloat16_1024x512xbfloat16_benchmark.mlir,"aten::addmm '[[1024], [16, 512], [512, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_06_02_25,True,73.9,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_06_02_25/candidates/specs/76_spec.mlir
fused_op_bmm_b3ae815a4656f94530c1aca3cd9175770f9d18a4_16x384x192xbfloat16_16x192x384xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_bmm_b3ae815a4656f94530c1aca3cd9175770f9d18a4_16x384x192xbfloat16_16x192x384xbfloat16_benchmark.mlir,"aten::bmm '[[16, 384, 192], [16, 192, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 192, 1], [0, 1, 192]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_05_11_47,True,56.2,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_05_11_47/candidates/specs/2531_spec.mlir
fused_op_mm_ac54384c133573bdff81cc039475d74b1551682c_24576x576xbfloat16_576x2048xbfloat16.mlir,/home/amily/amd-shark-ai/amdsharktuner/dispatch_tuner/conv_dump/fused_op_mm_ac54384c133573bdff81cc039475d74b1551682c_24576x576xbfloat16_576x2048xbfloat16_benchmark.mlir,"aten::mm '[[24576, 576], [576, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[576, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_10_11_59,True,73.7,/home/amily/amd-shark-ai/amdsharktuner/tuning_2026_02_10_11_59/candidates/specs/2102_spec.mlir
